volume_number,number,speechiness,key,time_signature,liveness,loudness,duration_ms,danceability,duration,valence,acousticness,energy,tempo,instrumentalness,mode,artist,title
58,2,0.453,4,4,0.285,-9.954,233720,0.607,231,0.559,0.856,0.376,102.541,0,1,Justin Bieber,Love Yourself
58,3,0.0979,5,4,0.335,-7.218,200680,0.803,199,0.488,0.0165,0.504,111.014,5.25E-06,0,Selena Gomez,Hands to Myself
58,4,0.0561,4,4,0.309,-7.055,226739,0.713,223,0.339,0.0435,0.802,100.001,0.00377,1,The Chainsmokers featuring Rozes,Roses
58,5,0.0955,0,4,0.158,-6.524,251467,0.757,250,0.389,0.0186,0.672,111.996,0,0,G-Eazy and Bebe Rexha,"Me, Myself & I"
58,6,0.0456,11,4,0.0939,-4.275,202747,0.584,203,0.425,0.117,0.7,124.944,0,1,Zayn,Pillowtalk
58,7,0.134,7,3,0.0465,-4.989,235653,0.317,233,0.526,0.0794,0.683,167.615,0,1,The Weeknd,In the Night
58,8,,,,,,,,233,,,,,,,Taylor Swift,Out of the Woods
58,9,0.0476,1,4,0.114,-6.118,227423,0.661,223,0.313,0.0419,0.819,108.985,0,0,Ellie Goulding,Something in the Way You Move
58,10,0.196,11,4,0.0963,-5.556,198293,0.765,198,0.191,0.222,0.356,97.001,0,0,Bryson Tiller,Don't
58,11,0.0416,1,4,0.055,-5.326,220573,0.586,215,0.226,0.0203,0.701,104.957,0,0,DJ Snake featuring Bipolar Sunshine,Middle
58,12,0.0894,1,4,0.0909,-4.816,188493,0.741,186,0.714,0.0183,0.627,108.016,0,0,Alessia Cara,Wild Things
58,13,0.0581,5,4,0.163,-5.098,219043,0.636,218,0.629,0.0185,0.815,123.063,0,0,Robin Schulz featuring Francesco Yates,Sugar
58,14,0.0422,7,4,0.0822,-4.398,185194,0.621,182,0.585,0.0667,0.743,91.51,0,1,Troye Sivan,Youth
58,15,0.0313,1,4,0.107,-10.253,260533,0.568,258,0.252,0.804,0.293,147.175,1.26E-05,1,James Bay,Let It Go
58,16,0.26,9,4,0.0868,-4.632,219000,0.506,217,0.517,0.146,0.897,188.03,0.000451,1,Rachel Platten,Stand by You
58,17,,,,,,,,192,,,,,,,Andrew Grant,Thinking for a While
58,18,0.122,6,4,0.0591,-2.839,172667,0.616,169,0.938,0.0798,0.846,78.916,1.49E-06,0,Bibi Bourelly,Sally
58,19,0.0677,11,4,0.419,-3.873,205693,0.53,204,0.772,0.0787,0.836,72.754,0,0,That Poppy,Lowlife
58,20,0.0437,1,4,0.057,-4.102,198773,0.626,196,0.653,0.289,0.765,93.049,5.97E-06,1,Phoebe Ryan,Chronic
58,21,0.0277,9,4,0.81,-4.856,210909,0.715,210,0.833,0.222,0.702,98.993,2.33E-06,0,Jodie Abacus,I'll Be That Friend
58,22,0.0342,0,4,0.287,-2.7,190240,0.533,189,0.711,0.0952,0.886,99.988,0,0,Chris Lane,Fix
59,1,0.0682,0,4,0.0968,-5.72,237547,0.669,233,0.714,0.0106,0.832,113.035,0,1,Justin Timberlake,Can't Stop the Feeling! (Original Song from DreamWorks Animation's Trolls)
59,2,0.172,11,4,0.136,-5.094,208373,0.532,206,0.419,0.157,0.869,159.803,0.00508,1,The Chainsmokers featuring Daya,Don't Let Me Down
59,3,0.215,6,4,0.0775,-4.931,224813,0.592,218,0.736,0.0561,0.8,89.972,2.01E-06,0,Sia featuring Sean Paul,Cheap Thrills
59,4,0.27,1,4,0.702,-3.599,213507,0.471,210,0.649,0.0125,0.802,88.615,1.45E-06,0,Meghan Trainor,No
59,5,0.0432,8,4,0.0644,-5.861,214480,0.803,213,0.588,0.103,0.585,105.017,3.94E-06,1,Fifth Harmony featuring Ty Dolla Sign,Work from Home
59,6,0.0378,7,3,0.357,-5.353,235947,0.672,229,0.292,0.0499,0.605,134.015,0,1,Ariana Grande,Dangerous Woman
59,7,0.0698,6,4,0.145,-5.397,234213,0.667,232,0.407,0.258,0.624,124.012,0,0,Nick Jonas featuring Tove Lo,Close
59,8,0.393,10,4,0.369,-5.522,247867,0.72,224,0.245,0.0235,0.748,145.22,0,0,Desiigner,Panda
59,9,0.336,8,4,0.063,-4.503,198237,0.464,195,0.678,0.0235,0.771,158.777,0,1,Kent Jones,Don't Mind
59,10,0.12,7,4,0.0864,-6.588,197933,0.665,193,0.697,0.034,0.725,101.96,9.17E-06,0,Mike Posner,I Took a Pill in Ibiza (SeeB Remix)
